event_id,tiger_id,filename,timestamp,camera_id,latitude,longitude,grid_id,zone,zone_type,habitat,range,station_id,trail_type,previous_camera,distance_from_previous_km,bearing_deg,estimated_travel_time_hr,home_range_id,distance_from_hr_center_km,inside_home_range,distance_to_core_boundary_km,distance_to_buffer_km,distance_to_village_km,nearest_village,distance_to_water_km,nearest_water,prey_density,water_availability,human_disturbance,camera_operational,camera_detection_probability,image_quality,reid_confidence,movement_state,behavioral_state,season,alert_level,ambient_temp_c,lighting_condition,camera_type,nearest_village_dist_km,event_type,anomaly_type,anomaly_confidence
b72dd98a-217,85,002921.jpg,2022-06-01 00:00:00,CAM-0092,21.536769,79.320955,G002011,buffer,buffer,scrub,Nagalwadi Buffer,CAM-0092,ridge,,0.0,0.0,0.0,HR-85,0.215,True,3.347,0.874,1.197,Khapa,11.845,NH-44 Culvert Pool,0.242,0.0,0.5,True,0.258,good_ir,0.73,SLOW,slow_movement,summer,CAUTION,26.4,Night (IR Flash),CCTV / Solar Camera,1.197,observation,first_buffer_entry,0.55
b2190223-356,88,004351.jpg,2022-06-01 00:00:00,CAM-0002,21.622489,79.301077,G007010,core_forest,core_forest,mixed_forest,East Pench,CAM-0002,streambed,,0.0,0.0,0.0,HR-88,0.766,True,6.151,9.945,8.722,Sillari,3.745,Pench River Main,0.609,0.238,0.05,True,0.208,partial,0.56,SLOW,slow_movement,summer,SAFE,26.4,Night (IR Flash),Camera Trap (Wildlife),8.722,observation,water_driven_movement,0.5
4d468059-122,96,004922.jpg,2022-06-01 00:00:00,CAM-0075,21.553358,79.183519,G003004,buffer,buffer,mixed_forest,Paoni Buffer,CAM-0075,animal_trail,,0.0,0.0,0.0,HR-96,0.726,True,0.237,5.346,2.943,Wadamba,4.63,Jamni River,0.363,0.118,0.444,True,0.277,good_ir,0.69,RESTING,resting,summer,CAUTION,27.4,Night (IR Flash),Camera Trap (Wildlife),2.943,observation,first_buffer_entry,0.55
0fdce882-dc0,100,005137.jpg,2022-06-01 00:00:00,CAM-0120,21.753893,79.184744,G014004,buffer,buffer,teak_forest,North Buffer,CAM-0120,forest_road,,0.0,0.0,0.0,HR-100,0.649,True,1.051,2.115,2.38,Chikhli,7.109,Pench River North,0.435,0.0,0.452,True,0.331,partial_ir,0.5,RESTING,resting,summer,CAUTION,27.5,Night (IR Flash),CCTV / Solar Camera,2.38,observation,first_buffer_entry,0.55
7d317418-419,108,000762.jpg,2022-06-01 00:00:00,CAM-0023,21.698385,79.14569,G011002,core_forest,core_forest,mixed_forest,West Pench,CAM-0023,forest_road,,0.0,0.0,0.0,HR-108,1.108,True,1.19,4.792,3.414,Pitesur,9.289,Pench River North,0.558,0.0,0.228,True,0.193,occluded,0.38,SLOW,slow_movement,summer,SAFE,29.4,Night (IR Flash),Camera Trap (Wildlife),3.414,observation,water_driven_movement,0.5
94537e3e-f41,109,004975.jpg,2022-06-01 00:00:00,CAM-0085,21.550547,79.204509,G003005,core_forest,core_forest,mixed_forest,Paoni Buffer,CAM-0085,crossing,,0.0,0.0,0.0,HR-109,1.229,True,0.177,5.76,3.973,Sawara,4.38,Jamni River,0.579,0.173,0.191,True,0.057,partial,0.54,RESTING,resting,summer,SAFE,27.9,Night (IR Flash),Camera Trap (Wildlife),3.973,observation,water_driven_movement,0.5
ad7fbbee-3cf,130,004972.jpg,2022-06-01 00:00:00,CAM-0024,21.699067,79.200892,G011005,core_forest,core_forest,bamboo,West Pench,CAM-0024,animal_trail,,0.0,0.0,0.0,HR-130,0.262,True,5.281,8.376,6.195,Bodalkasa,3.717,Pench River North,0.616,0.211,0.11,True,0.58,good_ir,0.76,RESTING,resting,summer,SAFE,27.3,Night (IR Flash),Camera Trap (Wildlife),6.195,observation,water_driven_movement,0.5
4d796a7d-228,132,000524.jpg,2022-06-01 00:00:00,CAM-0083,21.55036,79.223679,G003006,core_forest,core_forest,mixed_forest,Paoni Buffer,CAM-0083,animal_trail,,0.0,0.0,0.0,HR-132,2.534,True,0.391,5.903,4.496,Paoni,4.802,Jamni River,0.438,0.0,0.446,True,0.091,partial,0.54,NORMAL,normal_travel,summer,SAFE,29.0,Night (IR Flash),Camera Trap (Wildlife),4.496,observation,water_driven_movement,0.5
d30693fe-fb9,139,001432.jpg,2022-06-01 00:00:00,CAM-0055,21.69942,79.218717,G011006,core_forest,core_forest,bamboo,Devalapar,CAM-0055,streambed,,0.0,0.0,0.0,HR-139,0.392,True,5.584,8.269,6.514,Hiwra,2.047,Pench River North,0.618,0.366,0.096,True,0.384,good_ir,0.7,RESTING,resting,summer,SAFE,26.0,Night (IR Flash),Camera Trap (Wildlife),6.514,observation,normal,0.0
7f079b61-064,142,004102.jpg,2022-06-01 00:00:00,CAM-0031,21.682028,79.142899,G010002,core_forest,core_forest,teak_forest,West Pench,CAM-0031,crossing,,0.0,0.0,0.0,HR-142,0.967,True,1.071,4.634,3.91,Ghiregaon,9.925,Saleghat Nala,0.56,0.0,0.201,True,0.127,poor,0.24,RESTING,resting,summer,SAFE,28.3,Night (IR Flash),Camera Trap (Wildlife),3.91,observation,water_driven_movement,0.5
1920f06f-749,145,004252.jpg,2022-06-01 00:00:00,CAM-0046,21.678507,79.262817,G010008,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0046,crossing,,0.0,0.0,0.0,HR-145,0.37,True,7.662,10.329,8.163,Bandara,4.338,Pench River Main,0.634,0.157,0.249,True,0.597,poor_ir,0.26,SLOW,slow_movement,summer,SAFE,28.2,Night (IR Flash),Camera Trap (Wildlife),8.163,observation,water_driven_movement,0.5
ad3507a6-34e,148,004098.jpg,2022-06-01 00:00:00,CAM-0052,21.622385,79.277484,G007009,core_forest,core_forest,mixed_forest,Chorbahuli,CAM-0052,animal_trail,,0.0,0.0,0.0,HR-148,0.432,True,7.311,11.458,11.091,Pipariya,1.539,NH-44 Culvert Pool,0.659,0.405,0.151,True,0.446,good_ir,0.73,RESTING,resting,summer,SAFE,26.7,Night (IR Flash),Camera Trap (Wildlife),11.091,observation,normal,0.0
b56c5904-ad2,151,001098.jpg,2022-06-01 00:00:00,CAM-0056,21.733428,79.222533,G013006,core_forest,core_forest,mixed_forest,Devalapar,CAM-0056,animal_trail,,0.0,0.0,0.0,HR-151,0.948,True,1.799,4.477,2.836,Hiwra,2.9,Pench River North,0.58,0.28,0.244,True,0.102,poor,0.28,RESTING,resting,summer,SAFE,29.9,Night (IR Flash),Camera Trap (Wildlife),2.836,observation,water_driven_movement,0.5
d4c3f173-a46,153,003696.jpg,2022-06-01 00:00:00,CAM-0085,21.550547,79.204509,G003005,core_forest,core_forest,mixed_forest,Paoni Buffer,CAM-0085,crossing,,0.0,0.0,0.0,HR-153,1.185,True,0.177,5.76,3.973,Sawara,4.38,Jamni River,0.568,0.144,0.172,True,0.123,occluded,0.33,SLOW,slow_movement,summer,SAFE,28.6,Night (IR Flash),Camera Trap (Wildlife),3.973,observation,water_driven_movement,0.5
ebf07480-1fa,171,003900.jpg,2022-06-01 00:00:00,CAM-0054,21.714159,79.218764,G012006,core_forest,core_forest,teak_forest,Devalapar,CAM-0054,forest_road,,0.0,0.0,0.0,HR-171,0.387,True,3.949,6.635,4.882,Hiwra,1.735,Pench River North,0.622,0.409,0.17,True,0.516,partial_ir,0.51,RESTING,resting,summer,SAFE,28.4,Night (IR Flash),Camera Trap (Wildlife),4.882,observation,normal,0.0
5ab7ed9b-7d3,175,004086.jpg,2022-06-01 00:00:00,CAM-0023,21.698385,79.14569,G011002,core_forest,core_forest,mixed_forest,West Pench,CAM-0023,forest_road,,0.0,0.0,0.0,HR-175,0.717,True,1.19,4.792,3.414,Pitesur,9.289,Pench River North,0.558,0.0,0.228,True,0.433,good_ir,0.72,NORMAL,normal_travel,summer,SAFE,29.5,Night (IR Flash),Camera Trap (Wildlife),3.414,observation,water_driven_movement,0.5
ce21b21a-874,181,000279.jpg,2022-06-01 00:00:00,CAM-0043,21.642541,79.260745,G008008,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0043,streambed,,0.0,0.0,0.0,HR-181,1.521,True,10.143,14.328,12.15,Bandara,0.994,Pench River Main,0.66,0.482,0.249,True,0.055,poor,0.3,RESTING,resting,summer,SAFE,26.5,Night (IR Flash),Camera Trap (Wildlife),12.15,observation,normal,0.0
fda2f071-4ca,187,000922.jpg,2022-06-01 00:00:00,CAM-0059,21.715107,79.260555,G012008,core_forest,core_forest,riparian_forest,Devalapar,CAM-0059,ridge,,0.0,0.0,0.0,HR-187,0.464,True,3.711,6.286,4.096,Bandara,2.693,Pench River North,0.794,0.308,0.396,True,0.367,good_ir,0.7,SLOW,slow_movement,summer,SAFE,28.9,Night (IR Flash),Camera Trap (Wildlife),4.096,observation,normal,0.0
1ae75838-65f,202,000617.jpg,2022-06-01 00:00:00,CAM-0021,21.660388,79.161413,G009003,core_forest,core_forest,mixed_forest,West Pench,CAM-0021,ridge,,0.0,0.0,0.0,HR-202,1.1,True,3.355,6.817,6.205,Ghiregaon,7.267,Saleghat Nala,0.511,0.0,0.113,True,0.109,occluded,0.36,NORMAL,normal_travel,summer,SAFE,26.0,Night (IR Flash),Camera Trap (Wildlife),6.205,observation,water_driven_movement,0.5
d7983f25-f6b,217,002959.jpg,2022-06-01 00:00:00,CAM-0003,21.609939,79.300875,G006010,core_forest,core_forest,bamboo,East Pench,CAM-0003,animal_trail,,0.0,0.0,0.0,HR-217,0.48,True,4.915,8.868,8.327,Pipariya,4.314,NH-44 Culvert Pool,0.541,0.154,0.05,True,0.246,occluded,0.38,RESTING,resting,summer,SAFE,27.2,Night (IR Flash),Camera Trap (Wildlife),8.327,observation,water_driven_movement,0.5
37d7a9c8-8bc,226,004226.jpg,2022-06-01 00:00:00,CAM-0094,21.552153,79.2796,G003009,buffer,buffer,teak_forest,Nagalwadi Buffer,CAM-0094,ridge,,0.0,0.0,0.0,HR-226,1.593,True,0.083,4.592,5.129,Khandala,8.757,Jamni River,0.606,0.0,0.255,True,0.535,good_ir,0.74,NORMAL,normal_travel,summer,CAUTION,26.5,Night (IR Flash),CCTV / Solar Camera,5.129,observation,first_buffer_entry,0.55
4e44cfdf-a12,238,002249.jpg,2022-06-01 00:00:00,CAM-0067,21.607096,79.179456,G006004,core_forest,core_forest,teak_forest,Saleghat,CAM-0067,waterhole_approach,,0.0,0.0,0.0,HR-238,0.198,True,4.543,8.78,6.307,Wadamba,2.005,Saleghat Nala,0.655,0.345,0.109,True,0.799,partial_ir,0.51,RESTING,resting,summer,SAFE,27.5,Night (IR Flash),Camera Trap (Wildlife),6.307,observation,normal,0.0
dacf234e-a77,249,003543.jpg,2022-06-01 00:00:00,CAM-0068,21.627219,79.165474,G007003,core_forest,core_forest,mixed_forest,Saleghat,CAM-0068,animal_trail,,0.0,0.0,0.0,HR-249,0.623,True,3.666,7.268,6.996,Bodhali,3.577,Saleghat Nala,0.517,0.06,0.081,True,0.141,occluded,0.32,NORMAL,normal_travel,summer,SAFE,26.5,Night (IR Flash),Camera Trap (Wildlife),6.996,observation,water_driven_movement,0.5
0f617009-fad,264,003370.jpg,2022-06-01 00:00:00,CAM-0009,21.66145,79.296989,G009010,core_forest,core_forest,teak_forest,East Pench,CAM-0009,waterhole_approach,,0.0,0.0,0.0,HR-264,0.447,True,7.461,11.248,9.37,Manegaon,3.63,East Pench Nala,0.629,0.235,0.05,True,0.25,partial_ir,0.48,SLOW,slow_movement,summer,SAFE,27.6,Night (IR Flash),Camera Trap (Wildlife),9.37,observation,water_driven_movement,0.5
8f3cd069-9ef,267,001934.jpg,2022-06-01 00:00:00,CAM-0065,21.568745,79.163551,G004003,core_forest,core_forest,teak_forest,Saleghat,CAM-0065,animal_trail,,0.0,0.0,0.0,HR-267,0.571,True,0.3,5.506,1.762,Wadamba,2.918,Saleghat Nala,0.654,0.306,0.276,True,0.22,partial,0.54,RESTING,resting,summer,SAFE,28.4,Night (IR Flash),Camera Trap (Wildlife),1.762,observation,normal,0.0
e14bde8a-823,268,001173.jpg,2022-06-01 00:00:00,CAM-0018,21.623605,79.35515,G007013,core_forest,core_forest,teak_forest,East Pench,CAM-0018,animal_trail,,0.0,0.0,0.0,HR-268,0.315,True,1.368,4.533,3.333,Sillari,3.911,East Pench Nala,0.599,0.19,0.229,True,0.244,occluded,0.3,SLOW,slow_movement,summer,SAFE,27.8,Night (IR Flash),Camera Trap (Wildlife),3.333,observation,water_driven_movement,0.5
4bc184d2-021,25,004141.jpg,2022-06-01 03:00:00,CAM-0016,21.662339,79.320583,G009011,core_forest,core_forest,riparian_forest,East Pench,CAM-0016,streambed,,0.0,0.0,0.0,HR-25,1.727,True,5.961,8.714,7.561,Kolitmara,1.678,East Pench Nala,0.575,0.233,0.084,True,0.061,partial,0.58,SLOW,slow_movement,summer,SAFE,29.8,Night (IR Flash),Camera Trap (Wildlife),7.561,observation,water_driven_movement,0.5
0e748131-79c,54,001260.jpg,2022-06-01 03:00:00,CAM-0072,21.572058,79.179391,G004004,core_forest,core_forest,teak_forest,Saleghat,CAM-0072,animal_trail,,0.0,0.0,0.0,HR-54,1.128,True,1.415,7.056,3.146,Wadamba,2.947,Saleghat Nala,0.619,0.262,0.225,True,0.149,partial,0.56,RESTING,resting,summer,SAFE,29.1,Night (IR Flash),Camera Trap (Wildlife),3.146,observation,water_driven_movement,0.5
94774abe-e21,69,000785.jpg,2022-06-01 03:00:00,CAM-0031,21.682028,79.142899,G010002,core_forest,core_forest,teak_forest,West Pench,CAM-0031,crossing,,0.0,0.0,0.0,HR-69,0.632,True,1.071,4.634,3.91,Ghiregaon,9.925,Saleghat Nala,0.56,0.0,0.201,True,0.922,good_ir,0.72,RESTING,resting,summer,SAFE,26.3,Night (IR Flash),Camera Trap (Wildlife),3.91,observation,water_driven_movement,0.5
5895ebc5-a60,91,000361.jpg,2022-06-01 03:00:00,CAM-0075,21.553358,79.183519,G003004,buffer,buffer,mixed_forest,Paoni Buffer,CAM-0075,animal_trail,,0.0,0.0,0.0,HR-91,3.147,True,0.237,5.346,2.943,Wadamba,4.63,Jamni River,0.288,0.0,0.471,True,0.09,poor,0.31,NORMAL,normal_travel,summer,CAUTION,28.8,Night (IR Flash),Camera Trap (Wildlife),2.943,observation,first_buffer_entry,0.55
60460a0e-89a,114,001532.jpg,2022-06-01 03:00:00,CAM-0039,21.65985,79.243359,G009007,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0039,ridge,,0.0,0.0,0.0,HR-114,0.306,True,9.897,12.511,10.371,Bandara,3.519,Pench River Main,0.744,0.199,0.05,True,0.296,good_ir,0.71,SLOW,slow_movement,summer,SAFE,26.6,Night (IR Flash),Camera Trap (Wildlife),10.371,observation,water_driven_movement,0.5
90ff59a8-fee,124,003936.jpg,2022-06-01 03:00:00,CAM-0083,21.55036,79.223679,G003006,core_forest,core_forest,mixed_forest,Paoni Buffer,CAM-0083,animal_trail,,0.0,0.0,0.0,HR-124,1.105,True,0.391,5.903,4.496,Paoni,4.802,Jamni River,0.567,0.046,0.154,True,0.063,poor,0.32,RESTING,resting,summer,SAFE,27.2,Night (IR Flash),Camera Trap (Wildlife),4.496,observation,water_driven_movement,0.5
b7485736-72e,126,004113.jpg,2022-06-01 03:00:00,CAM-0058,21.732365,79.240013,G013007,core_forest,core_forest,teak_forest,Devalapar,CAM-0058,animal_trail,,0.0,0.0,0.0,HR-126,0.628,True,1.862,4.493,2.998,Bandara,2.536,Pench River North,0.718,0.308,0.242,True,0.328,good_ir,0.78,SLOW,slow_movement,summer,SAFE,27.3,Night (IR Flash),Camera Trap (Wildlife),2.998,observation,normal,0.0
573c0756-4d7,168,002681.jpg,2022-06-01 03:00:00,CAM-0119,21.753599,79.261957,G014008,buffer,buffer,teak_forest,North Buffer,CAM-0119,forest_road,,0.0,0.0,0.0,HR-168,0.989,True,0.564,2.011,0.269,Bandara,5.579,Pench River North,0.382,0.068,0.746,True,0.285,poor_ir,0.25,RESTING,resting,summer,CAUTION,29.9,Night (IR Flash),CCTV / Solar Camera,0.269,observation,first_buffer_entry,0.55
6854e244-065,198,003375.jpg,2022-06-01 03:00:00,CAM-0027,21.713362,79.181053,G012004,core_forest,core_forest,teak_forest,West Pench,CAM-0027,ridge,,0.0,0.0,0.0,HR-198,0.971,True,3.24,6.528,3.667,Bodalkasa,5.569,Pench River North,0.563,0.05,0.215,True,0.082,poor,0.24,RESTING,resting,summer,SAFE,26.3,Night (IR Flash),Camera Trap (Wildlife),3.667,observation,water_driven_movement,0.5
2fe1c283-043,237,001015.jpg,2022-06-01 03:00:00,CAM-0056,21.733428,79.222533,G013006,core_forest,core_forest,mixed_forest,Devalapar,CAM-0056,animal_trail,,0.0,0.0,0.0,HR-237,1.749,True,1.799,4.477,2.836,Hiwra,2.9,Pench River North,0.58,0.28,0.244,True,0.3,good_ir,0.69,NORMAL,normal_travel,summer,SAFE,30.0,Night (IR Flash),Camera Trap (Wildlife),2.836,observation,water_driven_movement,0.5
8c773369-bd4,244,001183.jpg,2022-06-01 03:00:00,CAM-0041,21.640701,79.238195,G008007,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0041,forest_road,,0.0,0.0,0.0,HR-244,0.934,True,10.456,14.664,12.557,Bandara,3.006,NH-44 Culvert Pool,0.743,0.284,0.05,True,0.14,poor,0.3,SLOW,slow_movement,summer,SAFE,27.5,Night (IR Flash),Camera Trap (Wildlife),12.557,observation,water_driven_movement,0.5
7069d566-ad6,246,001205.jpg,2022-06-01 03:00:00,CAM-0111,21.62798,79.12392,G007001,buffer,buffer,scrub,West Buffer,CAM-0111,crossing,,0.0,0.0,0.0,HR-246,0.575,True,0.915,2.655,2.813,Bodhali,5.595,Saleghat Nala,0.378,0.057,0.447,True,0.487,partial_ir,0.47,RESTING,resting,summer,CAUTION,26.2,Night (IR Flash),Camera Trap (Wildlife),2.813,observation,first_buffer_entry,0.55
08ff3748-995,255,003460.jpg,2022-06-01 03:00:00,CAM-0095,21.553553,79.25776,G003008,core_forest,core_forest,mixed_forest,Nagalwadi Buffer,CAM-0095,animal_trail,,0.0,0.0,0.0,HR-255,0.766,True,0.544,5.668,6.171,Chargaon,6.775,Jamni River,0.558,0.0,0.32,True,0.157,partial,0.57,SLOW,slow_movement,summer,SAFE,27.1,Night (IR Flash),Camera Trap (Wildlife),6.171,observation,water_driven_movement,0.5
bfd9331e-315,256,003523.jpg,2022-06-01 03:00:00,CAM-0002,21.622489,79.301077,G007010,core_forest,core_forest,mixed_forest,East Pench,CAM-0002,streambed,,0.0,0.0,0.0,HR-256,1.157,True,6.151,9.945,8.722,Sillari,3.745,Pench River Main,0.541,0.154,0.05,True,0.147,poor,0.29,RESTING,resting,summer,SAFE,29.6,Night (IR Flash),Camera Trap (Wildlife),8.722,observation,water_driven_movement,0.5
4de45e29-524,259,000816.jpg,2022-06-01 03:00:00,CAM-0059,21.715107,79.260555,G012008,core_forest,core_forest,riparian_forest,Devalapar,CAM-0059,ridge,,0.0,0.0,0.0,HR-259,0.315,True,3.711,6.286,4.096,Bandara,2.693,Pench River North,0.794,0.308,0.396,True,0.693,good_ir,0.78,SLOW,slow_movement,summer,SAFE,27.1,Night (IR Flash),Camera Trap (Wildlife),4.096,observation,normal,0.0
450bec27-5f5,261,000447.jpg,2022-06-01 03:00:00,CAM-0030,21.658278,79.182343,G009004,core_forest,core_forest,teak_forest,West Pench,CAM-0030,animal_trail,,0.0,0.0,0.0,HR-261,1.484,True,5.69,9.14,8.323,Ghiregaon,7.247,Saleghat Nala,0.544,0.0,0.05,True,0.185,poor,0.26,RESTING,resting,summer,SAFE,28.9,Night (IR Flash),Camera Trap (Wildlife),8.323,observation,water_driven_movement,0.5
3f78f382-86b,274,002086.jpg,2022-06-01 03:00:00,CAM-0056,21.733428,79.222533,G013006,core_forest,core_forest,mixed_forest,Devalapar,CAM-0056,animal_trail,,0.0,0.0,0.0,HR-274,0.932,True,1.799,4.477,2.836,Hiwra,2.9,Pench River North,0.58,0.28,0.244,True,0.205,occluded,0.35,RESTING,resting,summer,SAFE,29.8,Night (IR Flash),Camera Trap (Wildlife),2.836,observation,water_driven_movement,0.5
a7adffa6-08e,1,001983.jpg,2022-06-01 06:00:00,CAM-0030,21.658278,79.182343,G009004,core_forest,core_forest,teak_forest,West Pench,CAM-0030,animal_trail,,0.0,0.0,0.0,HR-1,0.814,True,5.69,9.14,8.323,Ghiregaon,7.247,Saleghat Nala,0.544,0.0,0.05,True,0.183,poor,0.3,NORMAL,normal_travel,summer,SAFE,33.5,Dawn / Dusk,Camera Trap (Wildlife),8.323,observation,water_driven_movement,0.5
65f1ccc8-688,12,004032.jpg,2022-06-01 06:00:00,CAM-0069,21.608057,79.199865,G006005,core_forest,core_forest,teak_forest,Saleghat,CAM-0069,streambed,CAM-0064,1.837,353.4,0.61,HR-12,2.041,True,6.005,11.015,7.486,Wadamba,2.073,Jamni River,0.629,0.373,0.068,True,0.053,occluded,0.38,NORMAL,normal_travel,summer,SAFE,32.5,Dawn / Dusk,Camera Trap (Wildlife),7.486,observation,normal,0.0
ff8f2242-223,22,002566.jpg,2022-06-01 06:00:00,CAM-0082,21.517311,79.241654,G001007,buffer,buffer,teak_forest,Paoni Buffer,CAM-0082,ridge,,0.0,0.0,0.0,HR-22,1.157,True,3.079,2.398,2.373,Paoni,8.908,Jamni River,0.416,0.0,0.465,True,0.385,good,0.86,NORMAL,normal_travel,summer,CAUTION,32.0,Dawn / Dusk,Camera Trap (Wildlife),2.373,observation,first_buffer_entry,0.55
65078dc2-4e3,27,002369.jpg,2022-06-01 06:00:00,CAM-0073,21.569168,79.201126,G004005,core_forest,core_forest,teak_forest,Saleghat,CAM-0073,forest_road,,0.0,0.0,0.0,HR-27,0.558,True,2.19,7.743,5.004,Wadamba,2.347,Jamni River,0.636,0.355,0.157,True,0.232,poor,0.31,SLOW,slow_movement,summer,SAFE,34.7,Dawn / Dusk,Camera Trap (Wildlife),5.004,observation,normal,0.0
b455c9b1-e36,30,001415.jpg,2022-06-01 06:00:00,CAM-0090,21.518734,79.278986,G001009,buffer,buffer,mixed_forest,Nagalwadi Buffer,CAM-0090,forest_road,,0.0,0.0,0.0,HR-30,0.463,True,3.708,1.194,2.369,Rawanwadi,10.984,Jamni River,0.292,0.0,0.569,True,0.409,excellent,0.93,RESTING,resting,summer,CAUTION,32.4,Dawn / Dusk,CCTV / Solar Camera,2.369,observation,first_buffer_entry,0.55
