station_id,camera_id,range,zone_type,latitude,longitude,habitat,trail_type,camera_type,nearest_village,nearest_village_km,nearest_water_km,nearest_road_km,trap_nights,total_detections,n_failures
CAM-0062,CAM-0062,Saleghat,core_forest,21.587664,79.160376,riparian_forest,waterhole_approach,Camera Trap (Wildlife),Wadamba,3.67,0.94,10.78,25.5,51,6
CAM-0063,CAM-0063,Saleghat,core_forest,21.624073,79.180131,mixed_forest,forest_road,Camera Trap (Wildlife),Wadamba,8.09,3.58,8.74,12.5,25,2
CAM-0064,CAM-0064,Saleghat,core_forest,21.591622,79.201925,riparian_forest,streambed,Camera Trap (Wildlife),Wadamba,6.32,0.36,6.5,35.5,71,3
CAM-0065,CAM-0065,Saleghat,core_forest,21.568745,79.163551,teak_forest,animal_trail,Camera Trap (Wildlife),Wadamba,1.76,2.92,10.45,27.0,54,1
CAM-0066,CAM-0066,Saleghat,core_forest,21.606452,79.160942,teak_forest,animal_trail,Camera Trap (Wildlife),Wadamba,5.74,1.34,10.72,47.5,95,3
CAM-0067,CAM-0067,Saleghat,core_forest,21.607096,79.179456,teak_forest,waterhole_approach,Camera Trap (Wildlife),Wadamba,6.31,2.0,8.81,14.0,28,5
CAM-0068,CAM-0068,Saleghat,core_forest,21.627219,79.165474,mixed_forest,animal_trail,Camera Trap (Wildlife),Bodhali,7.0,3.58,10.25,23.5,47,1
CAM-0069,CAM-0069,Saleghat,core_forest,21.608057,79.199865,teak_forest,streambed,Camera Trap (Wildlife),Wadamba,7.49,2.07,6.71,23.0,46,6
CAM-0070,CAM-0070,Saleghat,core_forest,21.622399,79.199789,teak_forest,animal_trail,Camera Trap (Wildlife),Wadamba,8.79,3.64,6.72,26.0,52,5
CAM-0071,CAM-0071,Saleghat,core_forest,21.5909,79.180604,teak_forest,streambed,Camera Trap (Wildlife),Wadamba,4.78,1.67,8.69,1.5,3,2
CAM-0072,CAM-0072,Saleghat,core_forest,21.572058,79.179391,teak_forest,animal_trail,Camera Trap (Wildlife),Wadamba,3.15,2.95,8.82,28.0,56,3
CAM-0073,CAM-0073,Saleghat,core_forest,21.569168,79.201126,teak_forest,forest_road,Camera Trap (Wildlife),Wadamba,5.0,2.35,6.58,43.0,86,1
CAM-0074,CAM-0074,Paoni Buffer,buffer,21.517148,79.218654,mixed_forest,streambed,Camera Trap (Wildlife),Paoni,0.81,1.43,4.77,5.0,10,2
CAM-0075,CAM-0075,Paoni Buffer,buffer,21.553358,79.183519,mixed_forest,animal_trail,Camera Trap (Wildlife),Wadamba,2.94,4.57,8.39,45.5,91,6
CAM-0076,CAM-0076,Paoni Buffer,core_forest,21.55047,79.240212,bamboo,streambed,Camera Trap (Wildlife),Paoni,4.95,3.08,2.55,22.5,45,3
CAM-0077,CAM-0077,Paoni Buffer,buffer,21.51735,79.20265,scrub,ridge,Camera Trap (Wildlife),Sawara,0.38,2.27,6.42,1.0,2,7
CAM-0078,CAM-0078,Paoni Buffer,buffer,21.536082,79.221711,scrub,streambed,Camera Trap (Wildlife),Paoni,2.9,0.7,4.46,19.0,38,1
CAM-0079,CAM-0079,Paoni Buffer,buffer,21.533329,79.243264,scrub,animal_trail,CCTV / Solar Camera,Paoni,3.53,2.42,2.24,12.0,24,5
CAM-0080,CAM-0080,Paoni Buffer,buffer,21.532353,79.202565,teak_forest,forest_road,CCTV / Solar Camera,Sawara,1.94,1.81,6.43,18.5,37,4
CAM-0081,CAM-0081,Paoni Buffer,buffer,21.53739,79.179886,mixed_forest,ridge,CCTV / Solar Camera,Ghoti,2.06,4.21,8.77,25.5,51,2
CAM-0082,CAM-0082,Paoni Buffer,buffer,21.517311,79.241654,teak_forest,ridge,Camera Trap (Wildlife),Paoni,2.37,2.64,2.4,36.0,72,4
CAM-0083,CAM-0083,Paoni Buffer,core_forest,21.55036,79.223679,mixed_forest,animal_trail,Camera Trap (Wildlife),Paoni,4.5,2.29,4.26,35.0,70,1
CAM-0084,CAM-0084,Paoni Buffer,buffer,21.514493,79.184847,teak_forest,forest_road,Camera Trap (Wildlife),Surera,1.13,4.01,8.26,3.0,6,2
CAM-0085,CAM-0085,Paoni Buffer,core_forest,21.550547,79.204509,mixed_forest,crossing,Camera Trap (Wildlife),Sawara,3.97,2.78,6.23,30.5,61,5
CAM-0086,CAM-0086,Nagalwadi Buffer,buffer,21.53375,79.300601,mixed_forest,forest_road,Camera Trap (Wildlife),Khandala,2.64,8.31,3.67,10.5,21,5
CAM-0087,CAM-0087,Nagalwadi Buffer,buffer,21.551809,79.319924,teak_forest,forest_road,Camera Trap (Wildlife),Khapa,2.63,10.36,5.66,39.0,78,1
CAM-0088,CAM-0088,Nagalwadi Buffer,buffer,21.537241,79.262542,teak_forest,crossing,Camera Trap (Wildlife),Chargaon,4.36,4.46,0.25,29.5,59,4
CAM-0089,CAM-0089,Nagalwadi Buffer,buffer,21.537292,79.280298,mixed_forest,crossing,Camera Trap (Wildlife),Khandala,3.65,6.26,1.58,5.5,11,7
CAM-0090,CAM-0090,Nagalwadi Buffer,buffer,21.518734,79.278986,mixed_forest,forest_road,CCTV / Solar Camera,Rawanwadi,2.37,6.2,1.44,24.0,48,2
CAM-0091,CAM-0091,Nagalwadi Buffer,buffer,21.517571,79.298326,teak_forest,forest_road,Camera Trap (Wildlife),Khandala,0.86,8.19,3.43,0.5,1,6
CAM-0092,CAM-0092,Nagalwadi Buffer,buffer,21.536769,79.320955,scrub,ridge,CCTV / Solar Camera,Khapa,1.2,10.43,5.76,23.5,47,2
CAM-0093,CAM-0093,Nagalwadi Buffer,buffer,21.555029,79.297176,scrub,ridge,CCTV / Solar Camera,Khapa,4.38,8.42,3.31,12.0,24,3
CAM-0094,CAM-0094,Nagalwadi Buffer,buffer,21.552153,79.2796,teak_forest,ridge,CCTV / Solar Camera,Khandala,5.13,6.61,1.5,16.5,33,4
CAM-0095,CAM-0095,Nagalwadi Buffer,core_forest,21.553553,79.25776,mixed_forest,animal_trail,Camera Trap (Wildlife),Chargaon,6.17,4.69,0.75,21.0,42,0
CAM-0096,CAM-0096,Nagalwadi Buffer,buffer,21.518405,79.2607,mixed_forest,ridge,Camera Trap (Wildlife),Chargaon,2.27,4.38,0.44,59.5,119,5
CAM-0097,CAM-0097,Sillari Buffer Sector,buffer,21.608185,79.378101,mixed_forest,animal_trail,Camera Trap (Wildlife),Sillari,0.83,6.79,11.65,1.5,3,3
CAM-0098,CAM-0098,Sillari Buffer Sector,buffer,21.71548,79.35869,grassland,forest_road,Camera Trap (Wildlife),Totladoh,3.06,3.18,9.65,2.5,5,4
CAM-0099,CAM-0099,Sillari Buffer Sector,core_forest,21.645901,79.143127,mixed_forest,streambed,Camera Trap (Wildlife),Awarghani,5.36,4.49,12.55,5.5,11,3
CAM-0100,CAM-0100,Sillari Buffer Sector,buffer,21.645106,79.395749,teak_forest,animal_trail,Camera Trap (Wildlife),Karmajhiri,0.55,6.79,13.47,5.0,10,4
CAM-0101,CAM-0101,Sillari Buffer Sector,core_forest,21.64605,79.20352,teak_forest,ridge,Camera Trap (Wildlife),Ghiregaon,10.82,4.79,6.33,17.0,34,3
CAM-0102,CAM-0102,Sillari Buffer Sector,core_forest,21.569383,79.220994,teak_forest,animal_trail,Camera Trap (Wildlife),Sawara,6.41,2.82,4.53,19.0,38,2
CAM-0103,CAM-0103,Sillari Buffer Sector,core_forest,21.609887,79.2624,bamboo,crossing,Camera Trap (Wildlife),Khapa,11.27,2.25,0.27,22.5,45,1
CAM-0104,CAM-0104,Sillari Buffer Sector,core_forest,21.677021,79.318773,bamboo,streambed,Camera Trap (Wildlife),Kolitmara,7.11,2.09,5.54,21.5,43,3
CAM-0105,CAM-0105,Sillari Buffer Sector,buffer,21.751284,79.165655,teak_forest,crossing,Camera Trap (Wildlife),Bodalkasa,1.38,1.67,10.23,2.0,4,3
CAM-0106,CAM-0106,Sillari Buffer Sector,buffer,21.535528,79.162677,mixed_forest,waterhole_approach,Camera Trap (Wildlife),Ghoti,1.19,5.94,10.54,1.5,3,3
CAM-0107,CAM-0107,Sillari Buffer Sector,core_forest,21.644264,79.165421,bamboo,streambed,Camera Trap (Wildlife),Ghiregaon,7.38,5.47,10.26,8.5,17,3
CAM-0108,CAM-0108,West Buffer,buffer,21.643657,79.126133,grassland,streambed,Camera Trap (Wildlife),Bodhali,3.91,3.38,14.3,28.5,57,5
CAM-0109,CAM-0109,West Buffer,buffer,21.571644,79.144756,teak_forest,animal_trail,Camera Trap (Wildlife),Wadamba,2.13,3.33,12.39,10.0,20,5
CAM-0110,CAM-0110,West Buffer,buffer,21.591278,79.126447,teak_forest,animal_trail,CCTV / Solar Camera,Jamun,2.32,2.88,14.27,20.5,41,6
CAM-0111,CAM-0111,West Buffer,buffer,21.62798,79.12392,scrub,crossing,Camera Trap (Wildlife),Bodhali,2.81,1.71,14.53,51.5,103,6
CAM-0112,CAM-0112,West Buffer,buffer,21.604546,79.122395,mixed_forest,animal_trail,Camera Trap (Wildlife),Teliya,2.51,1.39,14.69,16.0,32,1
CAM-0113,CAM-0113,West Buffer,buffer,21.587896,79.141935,grassland,animal_trail,Camera Trap (Wildlife),Jamun,3.82,2.5,12.68,39.5,79,3
CAM-0114,CAM-0114,West Buffer,core_forest,21.623022,79.142596,teak_forest,crossing,Camera Trap (Wildlife),Bodhali,4.61,2.98,12.61,14.0,28,1
CAM-0115,CAM-0115,West Buffer,buffer,21.569125,79.126382,grassland,forest_road,CCTV / Solar Camera,Khursapar,2.3,4.91,14.28,1.5,3,4
CAM-0116,CAM-0116,North Buffer,buffer,21.749952,79.239813,teak_forest,animal_trail,Camera Trap (Wildlife),Ghatpendhari,1.22,3.97,2.59,44.0,88,2
CAM-0117,CAM-0117,North Buffer,buffer,21.752245,79.277665,scrub,animal_trail,Camera Trap (Wildlife),Karegaon,1.44,5.14,1.3,2.0,4,2
CAM-0118,CAM-0118,North Buffer,buffer,21.751085,79.202736,mixed_forest,streambed,Camera Trap (Wildlife),Hiwra,1.48,1.98,6.41,6.5,13,4
CAM-0119,CAM-0119,North Buffer,buffer,21.753599,79.261957,teak_forest,forest_road,CCTV / Solar Camera,Bandara,0.27,4.52,0.31,17.5,35,4
CAM-0120,CAM-0120,North Buffer,buffer,21.753893,79.184744,teak_forest,forest_road,CCTV / Solar Camera,Chikhli,2.38,0.46,8.27,35.0,70,1
CAM-0121,CAM-0121,North Buffer,buffer,21.753724,79.221269,grassland,forest_road,Camera Trap (Wildlife),Hiwra,0.8,3.77,4.5,2.0,4,4
CAM-0122,CAM-0122,NH-44 Corridor,core_forest,21.571889,79.257793,grassland,animal_trail,Camera Trap (Wildlife),Paoni,7.9,5.8,0.74,21.5,43,7
CAM-0123,CAM-0123,NH-44 Corridor,core_forest,21.591028,79.260318,teak_forest,animal_trail,Camera Trap (Wildlife),Khapa,9.87,4.35,0.48,18.0,36,6
